#HDR ms,ax,ay,az,mag,hp_abs,rms,label
404478,0.0596,-0.0212,1.0122,1.0142,0.0017,0.0039,CALM
404488,0.0591,-0.0225,1.01,1.012,0.0038,0.0038,CALM
404498,0.0632,-0.0234,1.0251,1.0274,0.0113,0.0043,CALM
404508,0.0615,-0.0254,1.0166,1.0188,0.0026,0.0042,CALM
404518,0.0645,-0.0173,1.0137,1.0159,0.0003,0.0041,CALM
404528,0.0601,-0.0225,1.0208,1.0228,0.0064,0.0043,CALM
404538,0.0603,-0.0186,1.0149,1.0169,0.0005,0.0043,CALM
404548,0.0605,-0.0215,1.0107,1.0128,0.0035,0.0043,CALM
404558,0.0598,-0.0225,1.0142,1.0162,0.0001,0.0041,CALM
404568,0.0586,-0.0159,1.0168,1.0187,0.0023,0.004,CALM
404578,0.0586,-0.0193,1.0156,1.0175,0.0011,0.004,CALM
404588,0.0608,-0.0222,1.0134,1.0155,0.0009,0.004,CALM
404598,0.0647,-0.0205,1.0125,1.0147,0.0016,0.004,CALM
404608,0.0601,-0.0203,1.0212,1.0232,0.0067,0.0041,CALM
404618,0.0576,-0.0205,1.0161,1.018,0.0014,0.004,CALM
404628,0.061,-0.0217,1.0105,1.0126,0.0039,0.004,CALM
404638,0.0625,-0.019,1.0081,1.0102,0.0061,0.0041,CALM
404648,0.0574,-0.0234,1.0188,1.0207,0.0043,0.0042,CALM
404658,0.0569,-0.0205,1.01,1.0118,0.0044,0.004,CALM
404668,0.0542,-0.022,1.0144,1.0161,0.0001,0.004,CALM
404678,0.0574,-0.0183,1.0156,1.0174,0.0011,0.0039,CALM
404688,0.0632,-0.0198,1.0193,1.0214,0.005,0.004,CALM
404698,0.0552,-0.0183,1.009,1.0107,0.0055,0.0041,CALM
404708,0.0586,-0.02,1.0125,1.0143,0.0019,0.0041,CALM
404718,0.0583,-0.02,1.0134,1.0153,0.0009,0.0041,CALM
404728,0.0564,-0.0198,1.0161,1.0179,0.0016,0.0041,CALM
404738,0.0603,-0.0195,1.0142,1.0161,0.0001,0.004,CALM
